State,Action,Reward
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_C,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_F,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
C_C_C_M,Move-Forward,6
